teks_bersih,sentimen
aplikasi buruk qris sja nda sering keluar keluar sendiri,Negatif
bagus,Positif
sangat tidak puas karna dana cicil tidak aktif kan fiturnya,Positif
bagus,Positif
praktis,Positif
dana chrome luput,Netral
sangat bagus,Positif
susah,Negatif
sangat bantu,Positif
sehhhh hari kgk kabar pulsa gmana nih,Netral
uang dana potong rbu isi dana,Netral
aplikasi dana tidak aju pinjam uang,Positif
pokoe oke,Positif
ingin fitur dana cicil di aktif,Netral
bgus bngt,Netral
bagus up tidak masuk kali gimana min,Positif
pokok nya jdi lebih mudah,Positif
sangat puas,Positif
sangat baik,Netral
sanggat paus mengunakan alpikasi dana tidak rebet aman cepat,Positif
kasi bintang krna dana cicil tidak guna mohon bantu nya bisa di guna,Netral
buruk sangat kecewa,Negatif
jelas yang fitur dana cicil sedang punya gada fitur dana cicil di upgrad tetep aja tidak ada fitur nya sama sekali padahal sudah lama guna dana,Netral
sangat baik nyaman,Positif
aplikasi uang dana jadi tidak lagi tanggung jawab nya uang di dana aplikasi dana kenapa eror buka aplikasi dana tiba tiba lagi awal,Netral
ngirim selalu tidak,Netral
heran sama aplikasi kalau ngk saldo bisah masuk cuma pake pin tpi kalau saldo minta pin verivi wajah otp harus kan tau biasah masuk pake perangkat apa lokasi nya,Positif
bagus,Positif
sangat bantu,Positif
sangat bantu,Positif
sangat bantu,Positif
d akun tidak spaylater dana cicil nya,Netral
aplikasi dana muas nasabah,Netral
aplikasi selalu henti sendiri,Netral
sering transaksi hari tapi tidak pernah fitur dana cicil atau dana darurat,Netral
sudah maka tahun tahun tapi tak dana cicil,Netral
lumayan,Netral
bagusss tp sayang dana cicil belum,Positif
sangat layan,Netral
terimakasih,Netral
bagus,Positif
sangat bagus,Positif
sengaja kasih bintang lima biar ada posisi atas isi ulang berizzi sekarang belum masuk saldo isi ulang tgl februari sekarang februari lebih hari gua ngisi isi pertama rb belum masuk hati hati kalian mau isi ulang emany udh tidak bakal balik duit,Positif
sangatt membantuu,Positif
terbail dana mudah nyaman,Positif
bgus tpi ko ilang,Netral
sangat bagus,Positif
aktif kan dana instan,Netral
sangat bagus percaya,Positif
akhir akhir mau bayar tagih pake dana aga susah selalu muncul tagih tidak temu padahal jelas va nya koneksi nya transaksi nya di jam siang aja padahal akun nya premium bantu nya biar lebih mudah ber transaksi,Netral
percaya cepat,Positif
asli uang gua dana tiba tiba ilang asil kaga jelas jasa,Netral
dana cicil tidak di guna,Netral
trimakasi sya harap akun dana ada fitur danacicil,Netral
sangat puas,Positif
bagus,Positif
dana cicil tidak saya guna,Netral
dana cicil,Netral
sangat baik,Netral
fitur dana cicil tidak tolong baik punya,Netral
bantu kelurkan dana cicil,Netral
muantap,Netral
oke,Positif
bagus,Positif
cukup capek tunggu dana cicil,Netral
oke,Positif
bagus,Positif
bagus,Positif
fitur dana cicil,Netral
sangan bantu terima kasih dana,Positif
makyosssss,Netral
ris bisnis dana tidak masuk masuk lebih buat kalian nyesal jangan pake dana hapus aja ganti gopay,Netral
bagaimana cara aktif akun dana sudah beku sudah minta bantu chat ana inbok facebook di email belum solusi bantu,Positif
sangat bagus,Positif
sangat bagus,Positif
dana cicil,Netral
sangat tarik,Netral
baik,Positif
dana tidak dana cicil padahal lain dana cicil,Netral
oke,Positif
tolong min kalau verifikasi muka di mudah jelas jelas cahaya udh terang muka bingkai sih susah bener di baik kayak gin mau saing sama aplikasi belah tinggal jauh,Netral
di tidak muncul versi beta aktif dana paylater,Netral
sanget bagus,Positif
dasuki uki,Netral
apa abis update uang ilang gajelas tidak beli kouta buruk,Netral
sangat bantu aplikasi ny,Positif
oke,Positif
pihak layan kerja nya lama minta refund dana nunggu jam kerja nya lama tidak becus kasi rating rendah aja soal nya layan tidak kerja minta bantu ana tidak tindak refund,Netral
mohon maaf dana di tangguh tidak laku transaksi larang,Netral
aplikasi dana sering nge rusak loadingnya lama padahal sinyal bagusss di benah,Netral
mntap,Netral
salah kirim uang atw,Netral
bagus,Positif
bagus,Positif
sungguh luar biasa,Netral
dana dompet simpel mudah,Positif
terimakasih dana sangat bantu,Positif
sangat bagus,Positif
bagaimana habis nyicil tidak di pake padahal jatuh tempo lunas semua gimana si dana makin buruk aja,Negatif
bgus,Netral
dana babi pilih ngasih dana cicil,Negatif
bagus dompet digital,Positif
kasih bintang soal akun premium tapi kok banyak fitur tidak utama fitur dana cicil,Positif
kasih bintang dulu sayang nya premeum hampir tahun pakai tapi tidak muncul pitur dana cicil nya,Netral
bagus aplikasi,Positif
ya fitur dana cicil ada belum aktifasi kira beraha hari bisa di aktifasi nya terimakasih,Netral
ya makin kesini malah makin tidak jelas force close terus tiap buka aplikasi maupun pas bayar transaksi kalau misal uang potong masukin pin force close gimana emang pihak dana mau tanggung jawab tidak usah iklan terus ditaro beranda bikin berat aja efisien tidak sama sekali malah sulit,Netral
bagus,Positif
oke oke,Positif
dana cicil,Netral
sempurna,Netral
bagus,Positif
bagus,Positif
oke,Positif
puas,Positif
sangat bantu,Positif
sya tidak guna dana instan dana cicil pulsa di cek,Netral
gacor,Netral
oke,Positif
sangat manfaat,Netral
sangat muas,Netral
bagus,Positif
kirim uang e wallet uang potong dana tapi tidak masuk e wallet uang buruk saya,Negatif
kok dana tidak dana cicil,Positif
aplikasi sangat dukung,Netral
sangat bgs,Netral
bagus,Positif
min gabisa pake dana cicil padhal tidak tagih lunas tlong baik,Netral
bagus,Positif
nga taeh,Netral
dana instan,Netral
bagus,Positif
bagus,Positif
sangat aman percaya,Positif
puas praktis,Positif
sgat baik,Netral
bagus bosss,Positif
pindah akun tunggu bulan tidak bisa bagai mana tidak update,Netral
sangat bagus,Positif
sayang fitur dana cicil tidak muncul,Netral
bagus,Positif
agalemot dikit,Negatif
nomor layan langgan mana jangan cuma ninggalin bot g kasih solusi g jawab muter muter ujung ujung rugi langgan,Negatif
bagus,Positif
baik,Netral
mantab,Netral
josjis,Netral
sangat bagus,Positif
bagus,Positif
kerenn,Positif
yayayah,Netral
kog punya ku tidak keluar dana cicil,Netral
sangat bagus,Positif
dana tidak fitur dana cicil fitir dana onstan,Netral
oke baik,Positif
emang sesuwae,Netral
sangat bantu,Positif
dana cicil gagal terus aktivasi gagal bantu,Negatif
telah update aplikasi masuk langsung masuk nya ku atur masuk pake kode pin deteksi wajah sekarang tidak pake deteksi wajah kok tiba tiba langsung masuk,Positif
sangat bagus,Positif
bagus,Positif
dana instan akun tidak muncul di aktif,Netral
sangat guna sekali,Positif
dna makin sini makin banyak eror nya masa riwayat transaksi sering kali gabisa lihat tranfer siapa trus fitur isi uang langgan eror kadang tidak bis buka kocak,Netral
suka sekali e wallet baik,Positif
kaka benarrin dana nya soal nya ngak masuk akun dana,Netral
bagus,Positif
bagus,Positif
dana makin bagus,Positif
laku transaksi tapi gagal aneh nya uang tidak gimana cara atas nya kata x uang nyata zonk terlalu banyak promosi minus nang kendala nya hilang detik lalu tidak entah kapan mungkin kiamat baru kembali uang nya,Negatif
semua transaksi jadi mudah pakai dana terimakasih dana,Positif
tidak muncul dana cicil,Netral
ksih bintang dulu soal ada hutang pulsa aplikasi dana potong ny bulan sekali tibah mengisih dana uang di nak kan potong,Negatif
tiba tidak scan barode,Netral
poko the best,Positif
sangat untung,Netral
sangat bantu,Positif
instal pas buka malah keluar sendiri woy sehat,Netral
sangat guna sekali,Positif
dana mang oke,Positif
dana cicil nya uda muncul aktifitasnya selalu tidak di pake krn belum saat tapi rajin transaksi ngirim ntah belum buka padahal uda lama sekali malah tiap hari brtranksaksi mohon kasi peluang buka dana cicil biar pakai kasi minat dana cicil krn sngat bantu sekali,Positif
bagus,Positif
bagus,Positif
pliss nomer layan bisa telpon urgent,Netral
harap guna dana nikmat fitur dana cicil saya pakai dana bulan,Netral
tipu,Negatif
anjay,Netral
bagus,Positif
makin ribet,Netral
milik akun nomor sudah tidak aktif susah terima kode otp saya harap verifikasi muka masalah,Negatif
bagus,Positif
baik smua,Netral
sangat bagus tpi skrg susah masuk,Netral
buat belum pakai dana pakai dana sering mungkin biar pakai muncul dana paylater nya terima kasih dana team dana moga selalu sukses lancar nasabahmunbayar cicil,Positif
bagus app,Positif
bagus banget,Positif
bagus,Positif
dana tidak notifikasi dana cicil,Netral
maaf min baru masuk tiba cicil ya beri jelas,Netral
bagus,Positif
tapi cara dana cicil nya belum paham,Netral
knpa dan pending nya lama transaksi gopay malah pending lama gimna dan,Netral
suka pake dana moga berkah amin,Positif
dong baik bugnya masa lapor uang hapus gara baru dana versi ramadhan kalau kek gin bagai mitra rugi,Negatif
mending uninstal massal aja ni aplikasi tidak propesional org banyak hutang malah aktif fitur dana cicil gua tidak punya hutang malah tidak fitur dana cicil,Netral
bagus,Positif
entah gua buruk banget pakai aplikasi masih uang dalam aplikasi eh tiba tiba tidak di buka akun gua riset sendiri,Negatif
dana goals tidak di tarik karna scan wajah pake ktp orang tua betul ortu saya sudah tinggal harus scan wajah dulu dana goals dulu pake pin kok narik nya sekarang jadi ribet dana,Positif
kasih bintang dulu soal dana cicil nya tidak muncul,Netral
bagus,Positif
sangat sempurna,Netral
sempuna,Netral
saya cicil,Netral
aplikasi sangat buruk saya belum coba,Negatif
makin sini makin tidak beres dana aplikasi tidak k buka seklinya buka tidak kirim uang trus kacau coba d baik klau mau d percaya kirain hp yang lambat trnyata emng apliksi nya eror liat ulas kluhan nya sama tp tidak tnggapan,Negatif
sangat bagus suka sekli,Positif
bagus,Positif
jos jis,Netral
susah sekali guna mau bayar pake jaring bagus,Netral
suka cuma mohon bantu nya aktifasi dana cicil,Positif
uang gua ilang kga yang ngebantu cat ana malah tidak nyambung lah kembali min,Netral
bagus,Positif
bagus,Positif
sangat bagus,Positif
aplikasi ribet tak guna,Positif
bagus,Positif
baik,Netral
mantap,Positif
bagus sekali topp,Positif
sangat bantu terimakasih,Positif
bagus,Positif
bgus,Netral
tapi sayang fitur dana cicil nya tidak keluar,Netral
rusak mulu,Negatif
bagus,Positif
sangat puas,Positif
oke,Positif
sangat bantu,Positif
lebih mudah fitur y luarbiasa,Positif
sangat bantu,Positif
mantafff,Netral
bagus,Positif
cukup baik,Netral
kemarin verifikasi wajah aja sekarang lengkap nomor jadi kalau hilang nomor nya mau gimana,Negatif
mudah,Positif
bintang dulu limit dana cicil tidak sedia,Netral
proses masuk dana tidak sering dulu di kurang fitur t dak sering guna dana,Netral
coba dulu kalau bagus tambah bintang nya,Positif
bagus lancar jayass,Positif
halooo tim developer dana mau keluh rusak notifikasi dana seperti rusak dapat transfer notifnya suara token bunyi tidak notif dana biasa segera fix,Netral
bagus,Positif
sangat bantu,Positif
sangat bantu transaksi kirim tari,Positif
sulit cari uang nya,Netral
mau nanya dana cicil tidak sedia terus di baik terimakasih,Netral
fitur lupa pin tidak fungsi,Netral
bagus,Positif
sangat bantu,Positif
sagat bantu,Positif
terima kasih ada aplikasi sangat bantu kirim uang cepat,Positif
kasih dana cicil bos,Netral
aplikasi mudah,Positif
sangat bagus bantu,Positif
bagus aplikasi nya,Positif
aktivasi dana cicil,Netral
fitur dana cicil tidak guna fitur dana cicil sudah sedia,Netral
bagus,Positif
lebih lancar praktis tidak pakek ngantri tidak adminnya bagus,Positif
sangat bantu sekali,Positif
bagus,Positif
aplikasi dana nya suka lag sering ngajak update,Positif
akun setan,Netral
baik,Netral
sangat baik,Netral
bagus,Positif
bukan orang mampu,Netral
sangat bantu,Positif
bagus mudah kirim uamg,Positif
dana cicil gberfungsi,Netral
gimana cara a bisa kbuka akun sudah hilang,Negatif
atipin dana cicil oy,Netral
bagus sekali,Positif
puas sangat manfaat,Positif
mantappp,Positif
kenapaa uangg tiba tiba ilanggg,Netral
bagus,Positif
bisa bantu untuk masuk karena email lupa,Positif
waw bagus bngt,Positif
sudh lunas dana cicil tapi limit tutup kurang asik pdahal lambat tidak lama,Negatif
tanggap nya kurang dana masalah masuk dichat layan nya malah tidak tanggap,Negatif
mudah transaksi e wallet dana,Positif
layan bagus cepat,Positif
dana cicil,Netral
halo dana qris bisnis di non aktif aneh sekali,Netral
coba baik suka loading,Positif
sangat manfaat,Netral
bagus,Positif
sangat bantu,Positif
bagus,Positif
keres,Netral
customer service magang tidak selesai kendala customer tanggap bot,Negatif
ngk d guna,Netral
aplikasi nya sih oke cuma update an aplikasi dana sekarang notifikasi nya ngagetin walaupun cuma bunyi not sekali tapi bikin kaget mohon baik notifikasi nya,Positif
josss,Netral
bagus aman aplikasi,Positif
sangat bantu,Positif
sangat bsik,Netral
cepat,Positif
sangat mebantu,Netral
bagus banget aplikasi nya,Positif
buat kalian belum tau update aplikasi saranin jangan pernah update karna kali kalian update akan ada masalah aplikasi ny sperti tidak kirim uang tidak scan qris makin sering kalian update akan makin buruk kualiatas aplikasi nya dn saya udh ngalamin sendiri,Negatif
bagus bagus,Positif
aplikasi tidak buka,Netral
sangat muas,Netral
mantep per lindung ny,Netral
dana cicil ko tidak yaa,Netral
makin kesini makin tidak ini aplikasi uninstall ganti belah,Netral
bagus,Positif
makin kesini buat scan foto ngelag mental ahirnya gagal teruss makin buruk aja dana,Negatif
sangat bagus,Positif
tumben dana cair cpt cuma jam jam malem transaksi jam bisa tarik tahan cepat,Positif
begitu,Netral
ya dana sudah percaya jangan drama drama uang potong okee dana,Positif
mau tarik tunai rusak mulu,Negatif
sangat baik,Netral
bagus sekali,Positif
suka,Positif
sangat baik,Netral
sangat baik,Netral
kualitas keman buruk tidak tanggung jawab tidak cantum nominal kode aman transaksi rugi bagai guna aplikasi dana,Negatif
aplikasi baik jauh untuk ewallet rekomendasi bintang,Positif
sangat tidak puas bulan dana cicil mas tidk di pakai tidak sedia hubung ana tidak bantu alias tidak nyambung aplikasi bodong,Positif
sangat bantu guna aplikasi mudah jamin,Positif
sangat bantu,Positif
dana dengan mudah transaksi,Positif
bagus,Positif
sungguh bantu sekali bagai aktifitas terimakasih atas dedikasi layan di ikan dana buat semua urus saya jadi mudah,Positif
bagus,Positif
mantaap lah aplikasi nya,Netral
baik,Positif
aplikasi baik akses cepat harap aplikasi aman percaya,Positif
baik selalu,Netral
lebih gampang buat ngirim uang,Netral
sangat bantu,Positif
makin kesini aplikasi makin berat,Netral
asu kenapa selalu mau buat dana premium upload foto terus loading malah keluar gin aja terus bosen sama dana nih lama,Netral
siep aplikasi,Netral
buruk banget bayar tagih jatuh tempo di lunas semua malah tidak di pake limit padahal limit kembali,Negatif
aplikasi bagus tapi fitus dana cicil tidak sedia mulu tidak di guna sama sekali,Positif
baik,Netral
bagus,Positif
sampah aplikasi sampah vermuk susah udh jelas banget coba hape sama emang aplikasi paling sampah cuhh najis,Negatif
baik cepat,Positif
bagus,Positif
aplikasi paling buruk,Negatif
sangat baik,Netral
aplikasi nya sagat bantu,Positif
mudah transaksi kedai,Positif
sangat bantu,Positif
makin update makin jlek dana jadi lambat tlg prbaiki trimaksi,Negatif
sekarang tidak kejelasandan tidak tangan kena dana instan tidak di tarik makin kecewa,Netral
pesan layan dana halo tim customer care dana ingin lapor kendala akun dana aplikasi terus terus muncul tulis refreshing tidak baru saldo coba langkah langkah ikut tetap gagal cek koneksi internet wi fi data seluler paksa henti force stop hapus cache update aplikasi versi baru pasti atur jam hp sudah otomatis mohon bantu ecek ada kendala akun,Negatif
dana sangat bantu transfer bank mana memang bagus sekali,Positif
serius make dana cicil cuma ribu saya suruh balik ribu tidak ngotak sihh,Netral
bagus,Positif
sangat bantu,Positif
jos,Netral
bagus,Positif
ko aplikasi nya kalau hri g buka slalu plasback trs kenapa nih aplikasi dana jdi kalau mau transfer pke kiris download dlu kan jdi ribet,Netral
aplikasi dana sangat bagus n bantu banget dlm urus transaksi dana cicil juga dh aktif wlpun limit dikit tp trimz bnget n juga mohon bntuanya tuk aktifin fitur dana instan akun dana,Positif
ajak tidak mau buka berapa berapa hari lebih satu minggu ajak sama aplikasi dana bikin sakit hati mukin kalau tidak saldo tidak hiro kanlagi uda mau jm mas tidak aplikasi bikin rugi,Negatif
maaf nanya tugas sekarang ada potong tugas meski sama dana to dana soal temen ira yang kurang kirim nya mohon jawab mau kasih tau ketemen oke thanks,Positif
mantapppp,Positif
no dana tidak di ganti tiap mau ganti koneksi buruk padahal itu sinyal g jadi salah coba itu gmna sih,Negatif
suka pake dna,Positif
bagus,Positif
tela updet jadi eror sering kluar trus masuk ngk masuk masuk paya,Netral
aplikasi tidak jelas akun lebih dri premium dana cicil atau fitur lain tidak perna,Netral
sangat bagus,Positif
sangat mudah transaksi bagus guna butuh desak,Positif
sukses selalu,Netral
masa fitur dana cicil tidak muncul padahal aktif buat transaski akun dana,Netral
aneh dana sekarang bisa makan guna baterai bikin hp posisi idle jadi lebih boros aplikasi aja cuma hapus jadi rasa mending,Netral
gampang mudah menjalankn transaksi tidak ribet gitu,Positif
transaksi pending dua hari g tanggap layan lewat pengadua ana g jelas cuman lapor sedang peroses,Netral
sangat puas,Positif
bagus,Positif
suka notif pakai rekan dana mau d pake selalu sistem sibuk,Positif
oke bagus,Positif
suka aplikasi,Positif
lebih mudah simpel transaksi,Positif
bagus,Positif
gatau sering banget gabisa nikmat layan dana,Netral
lama pakai aplikasi dana baru kali saya buruk kasih limit dana instan awal cair dua kali tidak bisa di cair belum pernah telat aneh minta costumer service jawab nya tidak jelas tidak jawab aplikasi dana tidak jelas keluh tidak bisa bantu,Negatif
mau cetak qr dana bisnis tulis qris belum cetak ya padahal aktivasi hasil loh,Netral
bagus,Positif
makin updet makin nyusahin stiap transaksi barcod selalu keluar aplikasi,Netral
suka dana,Positif
maaf gimana dari tadi siang buka aplikasi dana keluar terus kacau kali bah,Netral
sangat manfaat sekali,Netral
sangat bantu,Positif
orang mau transaksi tidak gimana dana kapan ko tidak bisa,Netral
cukup bagus,Positif
dana memang luar biasa mudah transaksi nasabah sukses dana,Positif
ganti dana premium nomor baru,Netral
gercep pol,Netral
sangat bantu,Positif
transaksi sangat cepat simpan uang aman mes fitur fitur baru tidak semua tampil masing akun guna,Positif
napa sih dana makin susah bukaknya selalu aja app keluar sendiri,Negatif
bagus,Positif
sangat bagus,Positif
sangat bagus,Positif
gut,Netral
bantu orang tidak punya tabung kartu bank,Positif
cara daftar nya gmn,Netral
bagus,Positif
fitur dana cicil nya ngak muncul,Netral
bagus,Positif
makin kesisini makin susah pakek,Negatif
aplikasi tidak jelas voucher tidak digunain,Netral
bagus,Positif
terimakaih dana aplikasi sangant manfaat bantu,Positif
bagus,Positif
cukup bantu terimakasih,Positif
bagus,Positif
mantapla,Positif
sangat bantu,Positif
dong min masa limit dana cicil jadi tidak guna padahal semua utang cicil lunas semua kalau memang tidak manfaat mending fitur dana cicil tiada min biar tidak rusak pandang hapus dana tidak bakal saya pakai,Negatif
sangat bantu hal transaksi,Positif
puas,Positif
dana ya kemarin mau masuk susah terus masalah jaring pdhl jaring bagus aja kartu sm wifi aman aja mslhnya lagi butuh uang di nomor masih kecantol uang dana lumayan,Netral
dana sangat batu,Netral
uang potong otomatis tampa laku transaksi apa,Netral
ko pnya sya tidak dana cicil nyah,Netral
sangat bantu,Positif
akun di tangguh alas jelas cht ana putus tidak di ubah dasar aplikasi gaje,Netral
tidak buka,Netral
aplikasi dah masalah jaringa terus asu uang gua gimana asu lah,Negatif
nicee,Netral
kerennnn,Positif
bagus,Positif
nice banget,Netral
sering ugrebe tapi tak pernah dana cicil,Netral
aplikasi tida dana cicil yang ko,Netral
tingkat kualitas,Netral
bagus bagus,Positif
aplikasi bagus tpi knpa akun sya tidak program dana cicil nya sedikit buruk,Netral
selalu bantu mudah transaksi mana,Positif
sangat baik tabung,Netral
bgus,Netral
sangat mudah,Positif
akun belum daftar dana padahal verifikasi pas mau transfer alas suruh premium terus,Netral
alhamdulillah ada aplikasi saya rasa sangat bantu,Netral
mantapp cuman takut kalau ngisi bnyak hal tidak ingin,Positif
bagus,Positif
aplikasi sangat bagus mudah bayar online,Positif
mudah belanja,Positif
sangat muas,Netral
tolol,Negatif
kak mau nanya nomer sudah kadaluarsa truss gabisa masuk truss ganti nomer gantiin pihak dana nah saldo ikut pindah apa tidak,Netral
bagus sekali,Positif
mohon bantu pihak dana tadi transfer bank ke akun dana sayah nomer dana bener transaksi hasil tapi uang sya tidak nambah sayh tunggu pgi nmype skarang belum mohon itikad baik nya min bukan sekali sayh begini ke klii nya,Netral
cukup guna,Positif
baik,Netral
di ada tulis koneksi padahal wifi lancar banget,Positif
suka,Positif
kasih bintang akun dana verifikasi otp mana nomber sayang tidak aktif ada uang juta lebih dalam kalau normal kasig raiting,Netral
sangat mudah guna praktis,Positif
sangat bantu hal bayar mantaplh pokok,Positif
t o p,Netral
layan nya tetap bagus terimakasih,Positif
bagus banget,Positif
bagus,Positif
sering potong sendiri habis isi potong habis isi potong aneh,Netral
sangat bantu sekali ada dana,Positif
aplikasi nya bagus guna tapi ini upgrade dana premium tapi ko tetap tidak mengtransfer guna kan nomor telepon mohon baik,Positif
buka makin payah,Netral
bagus aplikasi dana cuma kadang suka maintenance riwayat transaksi nya,Positif
bagus,Positif
sangat nyaman kalau pake dana simpel terimakasih aplikasi dana sungguh baik amanah,Positif
aplikasi layan baik,Positif
beres tidak capek,Netral
sangat bantu aplikasi dana laku transaksi,Positif
moga makin bagus aplikasi dana nya,Positif
dana bagus sangat bantu,Positif
luwar biyasa mtap santer percayaaa,Netral
belum apa apa nge rusak,Negatif
bagus,Positif
bagus mantab,Positif
oke,Positif
bagus tapi aman makin per kuat,Positif
dana ke potong tiba tiba tidak transaksi apa sudah lapor tidak bijak hapus aja aplikasi nya tidak ambil hak orang k hilang tidak jelas suuu,Negatif
transaksi guna dana lebih tahun tapi fitur dana cicil atau dana instan tidak pernah muncul sangat buruk dana,Negatif
baguss,Positif
fitur rekan dana mau masuk nominal nama terima tidak muncul di baik sudah minggu,Netral
bgus,Netral
tidak pakai ribet,Netral
berapa lama beku akun dana alas aman,Positif
tahun dana bagus tidak paksa verifikasi muka,Positif
bagaimana cara pindah akun premium akun baru akun lama nomor telepon hilang tidak aktif bimbing kak,Negatif
bagus,Positif
jos,Netral
aplikasi tidak bagus masak pas dana nya tidak isi tidak muncul proteksi gilir isi uang nya mlh aktifin proteksi nya pingin makan duit nya apa gimana si,Positif
aplikasi is bagus,Positif
mantab,Netral
bagus baget transfer gampang sangat bantu,Positif
sangat bantu,Positif
sangat bantu,Positif
susah verivikasi wajah,Negatif
bagus,Positif
sangat bagus sekali,Positif
aplikasi tidak guna,Netral
gagal premium terus buruk,Negatif
senang aplikasi dana,Netral
dana bagus klu kirim uang,Positif
sangat bagus,Positif
sangat baik,Netral
tidak fitur dana cicil akun padahal transfer bulan nya selaluu juta,Netral
bagus jadi lebih mudah tidak perlu atm tanggal merah tetap topupku,Positif
mantab,Netral
jangan install aplikasi bicara serius jadi diri saya jangan pihak juga rasa sama kalian punya uang dana tiba tiba pihak bisa masuk kirim uang uang kalian lalu kalian lapor layan tanggap kalian lah sendiri kirim nya silah lapor polis jangan mau install aplikasi sesat uang kalian hilang sebab,Negatif
